Year,American,Continental,Delta,Northwest,United,US Airways,America West,Southwest,AirTran,jetBlue,Alaska,Virgin America,Hawaiian,Allegiant,Frontier,Spirit
1995,"138,792","66,447","171,219","103,591","151,622","104,190","28,311","91,881",126,0,"19,048",0,"14,666",0,"1,603",859
1996,"131,502","62,353","170,694","109,070","152,464","98,941","29,500","99,244","1,702",0,"20,410",0,"14,772",0,"2,143","1,151"
1997,"131,554","64,589","174,706","110,103","155,500","98,809","30,185","104,758","1,929",0,"21,187",0,"14,118",0,"2,621","1,531"
1998,"130,188","68,324","172,696","101,728","156,117","95,277","29,541","107,882","8,349",0,"22,348",0,"14,615",0,"2,791","2,084"
1999,"133,729","71,756","170,455","110,045","157,620","96,216","30,046","113,905","11,098",0,"22,659",0,"5,776",0,"4,171","3,496"
2000,"138,292","72,608","169,022","113,233","153,236","104,228","30,897","121,907","11,083","1,660","21,943",0,"16,768",429,"4,834","4,517"
2001,"130,007","68,939","159,852","106,232","139,542","100,110","29,705","127,254","12,231","4,321","22,469",0,"15,530",162,"5,424","4,806"
2002,"154,161","63,488","147,472","101,607","121,570","82,344","28,438","128,305","15,107","7,152","23,351",0,"13,129",278,"6,095","5,352"
2003,"140,898","60,082","127,115","97,353","108,806","67,687","27,717","128,745","16,937","10,745","24,159",0,"12,006",684,"7,823","5,484"
2004,"139,058","61,731","131,961","98,978","112,438","69,047","28,654","133,473","19,141","14,174","25,137",0,"11,662","1,169","9,016","6,238"
2005,"141,070","62,031","128,832","95,685","102,579","68,750","29,677","140,404","23,504","17,488","24,827",0,"11,804","1,511","9,788","6,045"
2006,"137,860","65,764","107,189","87,647","104,932","186,245","28,810","149,116","29,144","24,110","25,331",0,"12,609","2,747","11,607","6,279"
2007,"135,856","68,720","103,269","86,050","103,502","182,997","20,492","158,421","32,693","28,409","26,144",650,"13,659","3,962","13,594","8,878"
2008,"130,438","66,462","100,620","77,801","96,926","77,664",0,"162,603","32,709","29,032","24,731","3,521","15,507","4,858","13,318","8,880"
2009,"120,147","60,976","95,086","65,868","84,855","72,754",0,"153,565","31,587","30,282","22,375","4,804","17,270","6,036","11,928","8,032"
2010,"119,072","58,906","161,948",0,"79,102","72,950",0,"152,104","31,729","31,665","22,526","4,950","16,517","6,609","11,424","8,585"
2011,"118,431","62,534","164,206",0,"73,693","73,295",0,"156,345","31,929","34,227","23,802","6,271","17,187","6,835","12,508","10,156"
2012,"117,224",0,"164,548",0,"130,247","73,919",0,"185,377",0,"37,023","24,269","7,993","19,754","7,989","12,329","12,432"
2013,"118,132",0,"170,722",0,"125,134","76,721",0,"185,636",0,"39,435","25,830","8,320","20,118","8,307","11,990","14,449"
2014,"118,958",0,"179,246",0,"124,431","77,957",0,"181,958",0,"41,482","27,429","8,356","20,878","9,308","13,875","16,702"
2015,"195,323",0,"192,182",0,"130,602",0,0,"187,609",0,"45,207","30,045","8,985","21,443","11,184","15,411","21,522"
2016,"196,477",0,"200,213",0,"137,591",0,0,"195,628",0,"49,045","31,731","10,066","21,740","13,359","17,229","26,021"
2017,"196,588",0,"200,213",0,"147,637",0,0,"204,098",0,"52,380","33,549","10,372","22,349","14,905","19,789","29,402"
2018,"201,106",0,"207,597",0,"154,752",0,0,"211,253",0,"55,265","45,582",0,"22,367","16,489","23,244","34,941"
2019,"206,967",0,"218,030",0,"158,584",0,0,"210,161",0,"56,135","45,955",0,"21,396","18,206","26,755","41,450"
2020,"105,643",0,"112,008",0,"65,760",0,0,"139,227",0,"26,819","24,678",0,"8,674","14,763","16,978","26,967"

